Array Size: 2000, Search Value: 3386, Comparisons: 11, Time: 1179ms, Found: 1
Array Size: 2000, Search Value: 23, Comparisons: 11, Time: 653ms, Found: 1
Array Size: 2000, Search Value: 3657, Comparisons: 11, Time: 1068ms, Found: 1
Array Size: 2000, Search Value: 1161, Comparisons: 11, Time: 1121ms, Found: 1
Array Size: 2000, Search Value: 1542, Comparisons: 7, Time: 1624ms, Found: 1
Array Size: 2000, Search Value: 3934, Comparisons: 9, Time: 1506ms, Found: 1
Array Size: 2000, Search Value: 3885, Comparisons: 11, Time: 1431ms, Found: 1
Array Size: 2000, Search Value: 2207, Comparisons: 11, Time: 1128ms, Found: 1
Array Size: 2000, Search Value: 3012, Comparisons: 11, Time: 690ms, Found: 1
Array Size: 2000, Search Value: 1300, Comparisons: 10, Time: 603ms, Found: 1
Array Size: 2000, Search Value: 3345, Comparisons: 9, Time: 783ms, Found: 1
Array Size: 2000, Search Value: 2919, Comparisons: 7, Time: 691ms, Found: 1
Array Size: 2000, Search Value: 1581, Comparisons: 9, Time: 865ms, Found: 1
Array Size: 2000, Search Value: 3017, Comparisons: 11, Time: 833ms, Found: 1
Array Size: 2000, Search Value: 1775, Comparisons: 11, Time: 1166ms, Found: 1
Array Size: 2000, Search Value: 862, Comparisons: 7, Time: 801ms, Found: 1
Array Size: 2000, Search Value: 1128, Comparisons: 10, Time: 1489ms, Found: 1
Array Size: 2000, Search Value: 1430, Comparisons: 10, Time: 1644ms, Found: 1
Array Size: 2000, Search Value: 3079, Comparisons: 10, Time: 744ms, Found: 1
Array Size: 2000, Search Value: 756, Comparisons: 11, Time: 3830ms, Found: 1
Array Size: 2000, Search Value: 1418, Comparisons: 11, Time: 1337ms, Found: 1
Array Size: 2000, Search Value: 3890, Comparisons: 8, Time: 450ms, Found: 1
Array Size: 2000, Search Value: 2134, Comparisons: 10, Time: 922ms, Found: 1
Array Size: 3000, Search Value: 2151, Comparisons: 11, Time: 1106ms, Found: 1
Array Size: 3000, Search Value: 1832, Comparisons: 11, Time: 1684ms, Found: 1
Array Size: 3000, Search Value: 1758, Comparisons: 12, Time: 1916ms, Found: 1
Array Size: 3000, Search Value: 4173, Comparisons: 11, Time: 949ms, Found: 1
Array Size: 3000, Search Value: 4022, Comparisons: 11, Time: 843ms, Found: 1
Array Size: 3000, Search Value: 5771, Comparisons: 7, Time: 659ms, Found: 1
Array Size: 3000, Search Value: 4343, Comparisons: 8, Time: 1041ms, Found: 1
Array Size: 3000, Search Value: 1695, Comparisons: 12, Time: 1106ms, Found: 1
Array Size: 3000, Search Value: 4231, Comparisons: 10, Time: 721ms, Found: 1
Array Size: 3000, Search Value: 1326, Comparisons: 11, Time: 1238ms, Found: 1
Array Size: 3000, Search Value: 1233, Comparisons: 9, Time: 819ms, Found: 1
Array Size: 3000, Search Value: 3780, Comparisons: 12, Time: 669ms, Found: 1
Array Size: 3000, Search Value: 5205, Comparisons: 8, Time: 1413ms, Found: 1
Array Size: 3000, Search Value: 2826, Comparisons: 12, Time: 1499ms, Found: 1
Array Size: 3000, Search Value: 721, Comparisons: 12, Time: 1019ms, Found: 1
Array Size: 3000, Search Value: 2579, Comparisons: 11, Time: 1210ms, Found: 1
Array Size: 3000, Search Value: 4336, Comparisons: 10, Time: 625ms, Found: 1
Array Size: 3000, Search Value: 256, Comparisons: 10, Time: 1206ms, Found: 1
Array Size: 3000, Search Value: 1273, Comparisons: 11, Time: 1049ms, Found: 1
Array Size: 3000, Search Value: 4196, Comparisons: 11, Time: 8454ms, Found: 1
Array Size: 3000, Search Value: 5018, Comparisons: 11, Time: 743ms, Found: 1
Array Size: 3000, Search Value: 2371, Comparisons: 8, Time: 548ms, Found: 1
Array Size: 3000, Search Value: 3251, Comparisons: 11, Time: 513ms, Found: 1
Array Size: 3000, Search Value: 1223, Comparisons: 10, Time: 546ms, Found: 1
Array Size: 3000, Search Value: 2334, Comparisons: 10, Time: 480ms, Found: 1
Array Size: 3000, Search Value: 4167, Comparisons: 11, Time: 731ms, Found: 1
Array Size: 3000, Search Value: 2547, Comparisons: 11, Time: 1178ms, Found: 1
Array Size: 3000, Search Value: 4865, Comparisons: 11, Time: 991ms, Found: 1
Array Size: 3000, Search Value: 5653, Comparisons: 10, Time: 268ms, Found: 1
Array Size: 3000, Search Value: 1258, Comparisons: 12, Time: 353ms, Found: 1
Array Size: 3000, Search Value: 3614, Comparisons: 9, Time: 438ms, Found: 1
Array Size: 3000, Search Value: 3338, Comparisons: 10, Time: 485ms, Found: 1
Array Size: 3000, Search Value: 2618, Comparisons: 12, Time: 556ms, Found: 1
Array Size: 3000, Search Value: 27, Comparisons: 10, Time: 505ms, Found: 1
Array Size: 3000, Search Value: 3866, Comparisons: 11, Time: 570ms, Found: 1
Array Size: 3000, Search Value: 4754, Comparisons: 12, Time: 450ms, Found: 1
Array Size: 3000, Search Value: 4921, Comparisons: 10, Time: 396ms, Found: 1
Array Size: 3000, Search Value: 1811, Comparisons: 8, Time: 453ms, Found: 1
Array Size: 3000, Search Value: 316, Comparisons: 9, Time: 349ms, Found: 1
Array Size: 3000, Search Value: 4876, Comparisons: 12, Time: 426ms, Found: 1
Array Size: 3000, Search Value: 790, Comparisons: 10, Time: 410ms, Found: 1
Array Size: 3000, Search Value: 850, Comparisons: 8, Time: 571ms, Found: 1
Array Size: 3000, Search Value: 3638, Comparisons: 11, Time: 6475ms, Found: 1
Array Size: 3000, Search Value: 350, Comparisons: 10, Time: 638ms, Found: 1
Array Size: 3000, Search Value: 4086, Comparisons: 9, Time: 463ms, Found: 1
Array Size: 3000, Search Value: 2563, Comparisons: 12, Time: 584ms, Found: 1
Array Size: 3000, Search Value: 868, Comparisons: 11, Time: 527ms, Found: 1
Array Size: 3000, Search Value: 4058, Comparisons: 11, Time: 470ms, Found: 1
Array Size: 3000, Search Value: 3664, Comparisons: 11, Time: 583ms, Found: 1
Array Size: 3000, Search Value: 3454, Comparisons: 10, Time: 560ms, Found: 1
Array Size: 4000, Search Value: 3773, Comparisons: 5, Time: 317ms, Found: 1
Array Size: 4000, Search Value: 6785, Comparisons: 10, Time: 502ms, Found: 1
Array Size: 4000, Search Value: 1685, Comparisons: 12, Time: 500ms, Found: 1
Array Size: 4000, Search Value: 6792, Comparisons: 10, Time: 414ms, Found: 1
Array Size: 4000, Search Value: 7782, Comparisons: 10, Time: 336ms, Found: 1
Array Size: 4000, Search Value: 1889, Comparisons: 12, Time: 557ms, Found: 1
Array Size: 4000, Search Value: 3921, Comparisons: 12, Time: 713ms, Found: 1
Array Size: 4000, Search Value: 2227, Comparisons: 11, Time: 384ms, Found: 1
Array Size: 4000, Search Value: 7890, Comparisons: 10, Time: 317ms, Found: 1
Array Size: 4000, Search Value: 3901, Comparisons: 11, Time: 748ms, Found: 1
Array Size: 4000, Search Value: 2135, Comparisons: 9, Time: 479ms, Found: 1
Array Size: 4000, Search Value: 1660, Comparisons: 10, Time: 644ms, Found: 1
Array Size: 4000, Search Value: 352, Comparisons: 11, Time: 365ms, Found: 1
Array Size: 4000, Search Value: 534, Comparisons: 8, Time: 311ms, Found: 1
Array Size: 4000, Search Value: 997, Comparisons: 12, Time: 342ms, Found: 1
Array Size: 4000, Search Value: 6489, Comparisons: 11, Time: 409ms, Found: 1
Array Size: 4000, Search Value: 7988, Comparisons: 11, Time: 334ms, Found: 1
Array Size: 4000, Search Value: 4321, Comparisons: 10, Time: 358ms, Found: 1
Array Size: 4000, Search Value: 1309, Comparisons: 12, Time: 512ms, Found: 1
Array Size: 4000, Search Value: 162, Comparisons: 12, Time: 459ms, Found: 1
Array Size: 4000, Search Value: 6275, Comparisons: 11, Time: 636ms, Found: 1
Array Size: 4000, Search Value: 4114, Comparisons: 10, Time: 369ms, Found: 1
Array Size: 4000, Search Value: 7064, Comparisons: 9, Time: 375ms, Found: 1
Array Size: 4000, Search Value: 5513, Comparisons: 12, Time: 565ms, Found: 1
Array Size: 4000, Search Value: 4393, Comparisons: 12, Time: 467ms, Found: 1
Array Size: 4000, Search Value: 4919, Comparisons: 11, Time: 642ms, Found: 1
Array Size: 4000, Search Value: 1247, Comparisons: 11, Time: 686ms, Found: 1
Array Size: 4000, Search Value: 3207, Comparisons: 10, Time: 829ms, Found: 1
Array Size: 4000, Search Value: 3553, Comparisons: 10, Time: 675ms, Found: 1
Array Size: 4000, Search Value: 7216, Comparisons: 10, Time: 302ms, Found: 1
Array Size: 4000, Search Value: 3865, Comparisons: 11, Time: 489ms, Found: 1
Array Size: 4000, Search Value: 6998, Comparisons: 10, Time: 417ms, Found: 1
Array Size: 4000, Search Value: 7516, Comparisons: 11, Time: 432ms, Found: 1
Array Size: 4000, Search Value: 6367, Comparisons: 10, Time: 439ms, Found: 1
Array Size: 4000, Search Value: 7234, Comparisons: 11, Time: 512ms, Found: 1
Array Size: 4000, Search Value: 6606, Comparisons: 9, Time: 334ms, Found: 1
Array Size: 4000, Search Value: 4657, Comparisons: 12, Time: 636ms, Found: 1
Array Size: 4000, Search Value: 1130, Comparisons: 10, Time: 465ms, Found: 1
Array Size: 4000, Search Value: 3909, Comparisons: 11, Time: 514ms, Found: 1
Array Size: 4000, Search Value: 2457, Comparisons: 11, Time: 370ms, Found: 1
Array Size: 4000, Search Value: 5740, Comparisons: 10, Time: 509ms, Found: 1
Array Size: 4000, Search Value: 6447, Comparisons: 12, Time: 632ms, Found: 1
Array Size: 4000, Search Value: 5972, Comparisons: 10, Time: 521ms, Found: 1
Array Size: 4000, Search Value: 4090, Comparisons: 10, Time: 466ms, Found: 1
Array Size: 4000, Search Value: 7206, Comparisons: 11, Time: 481ms, Found: 1
Array Size: 4000, Search Value: 4093, Comparisons: 12, Time: 543ms, Found: 1
Array Size: 4000, Search Value: 4365, Comparisons: 10, Time: 379ms, Found: 1
Array Size: 4000, Search Value: 3581, Comparisons: 11, Time: 340ms, Found: 1
Array Size: 4000, Search Value: 4451, Comparisons: 11, Time: 502ms, Found: 1
