Array Size: 2000, Search Value: 3987, Comparisons: 10, Time: 624ms, Found: 1
Array Size: 2000, Search Value: 3979, Comparisons: 10, Time: 1140ms, Found: 1
Array Size: 2000, Search Value: 3961, Comparisons: 10, Time: 1193ms, Found: 1
Array Size: 2000, Search Value: 3982, Comparisons: 10, Time: 1125ms, Found: 1
Array Size: 2000, Search Value: 3984, Comparisons: 10, Time: 956ms, Found: 1
Array Size: 2000, Search Value: 3980, Comparisons: 10, Time: 666ms, Found: 1
Array Size: 2000, Search Value: 3973, Comparisons: 10, Time: 953ms, Found: 1
Array Size: 2000, Search Value: 3981, Comparisons: 10, Time: 1452ms, Found: 1
Array Size: 2000, Search Value: 3976, Comparisons: 10, Time: 1256ms, Found: 1
Array Size: 2000, Search Value: 3968, Comparisons: 10, Time: 706ms, Found: 1
Array Size: 2000, Search Value: 3986, Comparisons: 10, Time: 658ms, Found: 1
Array Size: 2000, Search Value: 3987, Comparisons: 10, Time: 605ms, Found: 1
Array Size: 2000, Search Value: 3983, Comparisons: 10, Time: 891ms, Found: 1
Array Size: 2000, Search Value: 3976, Comparisons: 10, Time: 1074ms, Found: 1
Array Size: 2000, Search Value: 3981, Comparisons: 10, Time: 683ms, Found: 1
Array Size: 2000, Search Value: 3987, Comparisons: 10, Time: 1083ms, Found: 1
Array Size: 2000, Search Value: 3976, Comparisons: 10, Time: 680ms, Found: 1
Array Size: 2000, Search Value: 3992, Comparisons: 8, Time: 1214ms, Found: 1
Array Size: 2000, Search Value: 3980, Comparisons: 10, Time: 635ms, Found: 1
Array Size: 2000, Search Value: 3971, Comparisons: 10, Time: 783ms, Found: 1
Array Size: 2000, Search Value: 3975, Comparisons: 10, Time: 527ms, Found: 1
Array Size: 2000, Search Value: 3985, Comparisons: 10, Time: 894ms, Found: 1
Array Size: 2000, Search Value: 3978, Comparisons: 10, Time: 552ms, Found: 1
Array Size: 2000, Search Value: 3961, Comparisons: 10, Time: 1146ms, Found: 1
Array Size: 3000, Search Value: 5966, Comparisons: 12, Time: 752ms, Found: 1
Array Size: 3000, Search Value: 5972, Comparisons: 12, Time: 1226ms, Found: 1
Array Size: 3000, Search Value: 5975, Comparisons: 12, Time: 1700ms, Found: 1
Array Size: 3000, Search Value: 5969, Comparisons: 11, Time: 622ms, Found: 1
Array Size: 3000, Search Value: 5985, Comparisons: 10, Time: 611ms, Found: 1
Array Size: 3000, Search Value: 5980, Comparisons: 12, Time: 1322ms, Found: 1
Array Size: 3000, Search Value: 5974, Comparisons: 11, Time: 2073ms, Found: 1
Array Size: 3000, Search Value: 5988, Comparisons: 12, Time: 1485ms, Found: 1
Array Size: 3000, Search Value: 5977, Comparisons: 10, Time: 711ms, Found: 1
Array Size: 3000, Search Value: 5977, Comparisons: 10, Time: 988ms, Found: 1
Array Size: 3000, Search Value: 5979, Comparisons: 12, Time: 1008ms, Found: 1
Array Size: 3000, Search Value: 5982, Comparisons: 8, Time: 707ms, Found: 1
Array Size: 3000, Search Value: 5981, Comparisons: 11, Time: 1429ms, Found: 1
Array Size: 3000, Search Value: 5977, Comparisons: 12, Time: 1509ms, Found: 1
Array Size: 3000, Search Value: 5983, Comparisons: 10, Time: 809ms, Found: 1
Array Size: 3000, Search Value: 5977, Comparisons: 12, Time: 1330ms, Found: 1
Array Size: 3000, Search Value: 5979, Comparisons: 12, Time: 763ms, Found: 1
Array Size: 3000, Search Value: 5976, Comparisons: 12, Time: 47290ms, Found: 1
Array Size: 3000, Search Value: 5977, Comparisons: 11, Time: 1014ms, Found: 1
Array Size: 3000, Search Value: 5985, Comparisons: 12, Time: 11377ms, Found: 1
Array Size: 3000, Search Value: 5965, Comparisons: 12, Time: 540ms, Found: 1
Array Size: 3000, Search Value: 5977, Comparisons: 11, Time: 352ms, Found: 1
Array Size: 3000, Search Value: 5983, Comparisons: 11, Time: 512ms, Found: 1
Array Size: 3000, Search Value: 5968, Comparisons: 10, Time: 297ms, Found: 1
Array Size: 3000, Search Value: 5989, Comparisons: 11, Time: 403ms, Found: 1
Array Size: 3000, Search Value: 5975, Comparisons: 12, Time: 819ms, Found: 1
Array Size: 3000, Search Value: 5977, Comparisons: 12, Time: 554ms, Found: 1
Array Size: 3000, Search Value: 5980, Comparisons: 12, Time: 838ms, Found: 1
Array Size: 3000, Search Value: 5965, Comparisons: 11, Time: 373ms, Found: 1
