Array Size: 2000, Search Value: 22, Comparisons: 9, Time: 885ms, Found: 1
Array Size: 2000, Search Value: 29, Comparisons: 9, Time: 1183ms, Found: 1
Array Size: 2000, Search Value: 17, Comparisons: 9, Time: 955ms, Found: 1
Array Size: 2000, Search Value: 10, Comparisons: 9, Time: 873ms, Found: 1
Array Size: 2000, Search Value: 17, Comparisons: 9, Time: 972ms, Found: 1
Array Size: 2000, Search Value: 38, Comparisons: 9, Time: 1163ms, Found: 1
Array Size: 2000, Search Value: 27, Comparisons: 9, Time: 979ms, Found: 1
Array Size: 2000, Search Value: 32, Comparisons: 9, Time: 1161ms, Found: 1
Array Size: 2000, Search Value: 18, Comparisons: 9, Time: 501ms, Found: 1
Array Size: 2000, Search Value: 14, Comparisons: 9, Time: 644ms, Found: 1
Array Size: 2000, Search Value: 19, Comparisons: 9, Time: 1763ms, Found: 1
Array Size: 2000, Search Value: 26, Comparisons: 9, Time: 1140ms, Found: 1
Array Size: 2000, Search Value: 12, Comparisons: 9, Time: 1918ms, Found: 1
Array Size: 2000, Search Value: 16, Comparisons: 9, Time: 978ms, Found: 1
Array Size: 2000, Search Value: 15, Comparisons: 9, Time: 1326ms, Found: 1
Array Size: 2000, Search Value: 23, Comparisons: 9, Time: 988ms, Found: 1
Array Size: 2000, Search Value: 25, Comparisons: 9, Time: 878ms, Found: 1
Array Size: 2000, Search Value: 22, Comparisons: 9, Time: 1164ms, Found: 1
Array Size: 2000, Search Value: 18, Comparisons: 9, Time: 652ms, Found: 1
Array Size: 2000, Search Value: 24, Comparisons: 9, Time: 996ms, Found: 1
Array Size: 2000, Search Value: 22, Comparisons: 9, Time: 802ms, Found: 1
Array Size: 2000, Search Value: 21, Comparisons: 9, Time: 770ms, Found: 1
Array Size: 3000, Search Value: 15, Comparisons: 8, Time: 1123ms, Found: 1
Array Size: 3000, Search Value: 26, Comparisons: 8, Time: 972ms, Found: 1
Array Size: 3000, Search Value: 18, Comparisons: 8, Time: 1274ms, Found: 1
Array Size: 3000, Search Value: 23, Comparisons: 8, Time: 680ms, Found: 1
Array Size: 3000, Search Value: 21, Comparisons: 8, Time: 1134ms, Found: 1
Array Size: 3000, Search Value: 29, Comparisons: 8, Time: 886ms, Found: 1
Array Size: 3000, Search Value: 10, Comparisons: 8, Time: 822ms, Found: 1
Array Size: 3000, Search Value: 23, Comparisons: 8, Time: 1046ms, Found: 1
Array Size: 3000, Search Value: 17, Comparisons: 8, Time: 814ms, Found: 1
Array Size: 3000, Search Value: 23, Comparisons: 8, Time: 1244ms, Found: 1
Array Size: 3000, Search Value: 23, Comparisons: 8, Time: 1589ms, Found: 1
Array Size: 3000, Search Value: 23, Comparisons: 8, Time: 1278ms, Found: 1
Array Size: 3000, Search Value: 23, Comparisons: 8, Time: 1223ms, Found: 1
Array Size: 3000, Search Value: 20, Comparisons: 8, Time: 1491ms, Found: 1
Array Size: 3000, Search Value: 16, Comparisons: 8, Time: 1418ms, Found: 1
Array Size: 3000, Search Value: 14, Comparisons: 8, Time: 1515ms, Found: 1
Array Size: 3000, Search Value: 15, Comparisons: 8, Time: 1161ms, Found: 1
Array Size: 3000, Search Value: 25, Comparisons: 8, Time: 1110ms, Found: 1
Array Size: 3000, Search Value: 11, Comparisons: 8, Time: 929ms, Found: 1
Array Size: 3000, Search Value: 24, Comparisons: 8, Time: 33196ms, Found: 1
Array Size: 3000, Search Value: 25, Comparisons: 8, Time: 960ms, Found: 1
