Array Size: 2000, Search Value: 2023, Comparisons: 10, Time: 1090ms, Found: 1
Array Size: 2000, Search Value: 2006, Comparisons: 9, Time: 806ms, Found: 1
Array Size: 2000, Search Value: 2004, Comparisons: 10, Time: 1422ms, Found: 1
Array Size: 2000, Search Value: 2081, Comparisons: 10, Time: 1022ms, Found: 1
Array Size: 2000, Search Value: 1935, Comparisons: 10, Time: 817ms, Found: 1
Array Size: 2000, Search Value: 2039, Comparisons: 1, Time: 260ms, Found: 1
Array Size: 2000, Search Value: 2100, Comparisons: 9, Time: 1533ms, Found: 1
Array Size: 2000, Search Value: 2017, Comparisons: 1, Time: 696ms, Found: 1
Array Size: 2000, Search Value: 1976, Comparisons: 1, Time: 255ms, Found: 1
Array Size: 2000, Search Value: 2035, Comparisons: 10, Time: 559ms, Found: 1
Array Size: 2000, Search Value: 1937, Comparisons: 1, Time: 235ms, Found: 1
Array Size: 2000, Search Value: 1964, Comparisons: 10, Time: 815ms, Found: 1
Array Size: 2000, Search Value: 2117, Comparisons: 10, Time: 789ms, Found: 1
Array Size: 2000, Search Value: 2016, Comparisons: 9, Time: 948ms, Found: 1
Array Size: 2000, Search Value: 2117, Comparisons: 10, Time: 995ms, Found: 1
Array Size: 2000, Search Value: 2036, Comparisons: 10, Time: 1209ms, Found: 1
Array Size: 2000, Search Value: 1957, Comparisons: 10, Time: 690ms, Found: 1
Array Size: 2000, Search Value: 2048, Comparisons: 10, Time: 821ms, Found: 1
Array Size: 2000, Search Value: 2024, Comparisons: 10, Time: 790ms, Found: 1
Array Size: 2000, Search Value: 1952, Comparisons: 10, Time: 767ms, Found: 1
Array Size: 2000, Search Value: 2061, Comparisons: 10, Time: 746ms, Found: 1
Array Size: 2000, Search Value: 1980, Comparisons: 10, Time: 749ms, Found: 1
Array Size: 2000, Search Value: 1965, Comparisons: 1, Time: 238ms, Found: 1
Array Size: 3000, Search Value: 3071, Comparisons: 11, Time: 946ms, Found: 1
Array Size: 3000, Search Value: 3027, Comparisons: 11, Time: 1719ms, Found: 1
Array Size: 3000, Search Value: 3038, Comparisons: 1, Time: 978ms, Found: 1
Array Size: 3000, Search Value: 3059, Comparisons: 11, Time: 872ms, Found: 1
Array Size: 3000, Search Value: 3053, Comparisons: 11, Time: 621ms, Found: 1
Array Size: 3000, Search Value: 2988, Comparisons: 11, Time: 2000ms, Found: 1
Array Size: 3000, Search Value: 2951, Comparisons: 10, Time: 2121ms, Found: 1
Array Size: 3000, Search Value: 3018, Comparisons: 11, Time: 1259ms, Found: 1
Array Size: 3000, Search Value: 2976, Comparisons: 11, Time: 501ms, Found: 1
Array Size: 3000, Search Value: 2930, Comparisons: 11, Time: 1138ms, Found: 1
Array Size: 3000, Search Value: 3016, Comparisons: 11, Time: 1205ms, Found: 1
Array Size: 3000, Search Value: 2893, Comparisons: 11, Time: 866ms, Found: 1
Array Size: 3000, Search Value: 2959, Comparisons: 11, Time: 1948ms, Found: 1
Array Size: 3000, Search Value: 2987, Comparisons: 11, Time: 1377ms, Found: 1
Array Size: 3000, Search Value: 3028, Comparisons: 1, Time: 194ms, Found: 1
Array Size: 3000, Search Value: 2953, Comparisons: 1, Time: 599ms, Found: 1
Array Size: 3000, Search Value: 3001, Comparisons: 11, Time: 521ms, Found: 1
Array Size: 3000, Search Value: 2896, Comparisons: 10, Time: 832ms, Found: 1
Array Size: 3000, Search Value: 2990, Comparisons: 10, Time: 500ms, Found: 1
Array Size: 3000, Search Value: 3018, Comparisons: 11, Time: 28846ms, Found: 1
Array Size: 3000, Search Value: 2984, Comparisons: 11, Time: 453ms, Found: 1
Array Size: 3000, Search Value: 3026, Comparisons: 11, Time: 418ms, Found: 1
Array Size: 3000, Search Value: 2985, Comparisons: 11, Time: 534ms, Found: 1
Array Size: 3000, Search Value: 3030, Comparisons: 1, Time: 182ms, Found: 1
Array Size: 3000, Search Value: 3070, Comparisons: 10, Time: 410ms, Found: 1
Array Size: 3000, Search Value: 2976, Comparisons: 11, Time: 769ms, Found: 1
Array Size: 3000, Search Value: 3015, Comparisons: 1, Time: 397ms, Found: 1
Array Size: 3000, Search Value: 3020, Comparisons: 11, Time: 866ms, Found: 1
Array Size: 3000, Search Value: 3002, Comparisons: 11, Time: 427ms, Found: 1
Array Size: 3000, Search Value: 3079, Comparisons: 1, Time: 134ms, Found: 1
Array Size: 3000, Search Value: 2982, Comparisons: 10, Time: 609ms, Found: 1
Array Size: 3000, Search Value: 3036, Comparisons: 11, Time: 452ms, Found: 1
Array Size: 3000, Search Value: 3003, Comparisons: 1, Time: 142ms, Found: 1
Array Size: 3000, Search Value: 3061, Comparisons: 11, Time: 1338ms, Found: 1
Array Size: 3000, Search Value: 2960, Comparisons: 1, Time: 217ms, Found: 1
Array Size: 3000, Search Value: 2933, Comparisons: 1, Time: 186ms, Found: 1
Array Size: 3000, Search Value: 2960, Comparisons: 11, Time: 544ms, Found: 1
Array Size: 3000, Search Value: 2988, Comparisons: 11, Time: 481ms, Found: 1
Array Size: 3000, Search Value: 3078, Comparisons: 10, Time: 775ms, Found: 1
Array Size: 3000, Search Value: 2927, Comparisons: 1, Time: 225ms, Found: 1
Array Size: 3000, Search Value: 2936, Comparisons: 11, Time: 467ms, Found: 1
Array Size: 3000, Search Value: 2989, Comparisons: 11, Time: 439ms, Found: 1
Array Size: 3000, Search Value: 3049, Comparisons: 11, Time: 7496ms, Found: 1
Array Size: 3000, Search Value: 3125, Comparisons: 11, Time: 482ms, Found: 1
Array Size: 3000, Search Value: 2930, Comparisons: 11, Time: 341ms, Found: 1
Array Size: 3000, Search Value: 3055, Comparisons: 1, Time: 196ms, Found: 1
Array Size: 3000, Search Value: 3029, Comparisons: 11, Time: 469ms, Found: 1
Array Size: 3000, Search Value: 2955, Comparisons: 11, Time: 527ms, Found: 1
Array Size: 3000, Search Value: 3003, Comparisons: 11, Time: 469ms, Found: 1
Array Size: 3000, Search Value: 3083, Comparisons: 10, Time: 448ms, Found: 1
Array Size: 4000, Search Value: 4040, Comparisons: 11, Time: 386ms, Found: 1
Array Size: 4000, Search Value: 3981, Comparisons: 11, Time: 595ms, Found: 1
Array Size: 4000, Search Value: 4060, Comparisons: 11, Time: 329ms, Found: 1
Array Size: 4000, Search Value: 4027, Comparisons: 11, Time: 472ms, Found: 1
Array Size: 4000, Search Value: 3957, Comparisons: 11, Time: 535ms, Found: 1
Array Size: 4000, Search Value: 4078, Comparisons: 11, Time: 291ms, Found: 1
Array Size: 4000, Search Value: 4109, Comparisons: 11, Time: 560ms, Found: 1
Array Size: 4000, Search Value: 3950, Comparisons: 11, Time: 293ms, Found: 1
Array Size: 4000, Search Value: 4026, Comparisons: 1, Time: 149ms, Found: 1
Array Size: 4000, Search Value: 4015, Comparisons: 1, Time: 153ms, Found: 1
Array Size: 4000, Search Value: 4050, Comparisons: 11, Time: 378ms, Found: 1
Array Size: 4000, Search Value: 4014, Comparisons: 11, Time: 398ms, Found: 1
Array Size: 4000, Search Value: 4081, Comparisons: 11, Time: 650ms, Found: 1
Array Size: 4000, Search Value: 4083, Comparisons: 11, Time: 694ms, Found: 1
Array Size: 4000, Search Value: 4008, Comparisons: 1, Time: 117ms, Found: 1
Array Size: 4000, Search Value: 3957, Comparisons: 11, Time: 663ms, Found: 1
Array Size: 4000, Search Value: 4094, Comparisons: 11, Time: 508ms, Found: 1
Array Size: 4000, Search Value: 3952, Comparisons: 11, Time: 571ms, Found: 1
Array Size: 4000, Search Value: 4034, Comparisons: 11, Time: 435ms, Found: 1
Array Size: 4000, Search Value: 4002, Comparisons: 11, Time: 401ms, Found: 1
Array Size: 4000, Search Value: 4037, Comparisons: 11, Time: 484ms, Found: 1
Array Size: 4000, Search Value: 4069, Comparisons: 11, Time: 475ms, Found: 1
Array Size: 4000, Search Value: 4176, Comparisons: 1, Time: 221ms, Found: 1
